household_key,BASKET_ID,coup_user,COUPON_UPC
1435,13,no,0
1436,8,no,0
1437,99,yes,6
1438,41,no,0
1439,33,no,0
1440,100,no,0
1441,13,no,0
1442,29,no,0
1443,182,no,0
1444,23,no,0
1445,178,yes,1
1446,44,no,0
1447,40,no,0
1448,80,no,0
1449,39,no,0
1450,90,no,0
1451,260,yes,12
1452,374,no,0
1453,761,yes,21
1454,154,no,0
1455,14,no,0
1456,69,no,0
1457,39,no,0
1458,126,yes,1
1459,79,no,0
1460,57,yes,1
1461,290,no,0
1462,120,yes,1
1463,139,yes,1
1464,76,no,0
1465,56,no,0
1466,38,no,0
1467,835,no,0
1468,81,no,0
1469,44,no,0
1470,133,no,0
1471,32,no,0
1472,4,no,0
1473,118,no,0
1474,72,no,0
1475,339,yes,13
1476,356,no,0
1477,15,no,0
1478,6,no,0
1479,716,no,0
1480,27,no,0
1481,164,no,0
1482,18,no,0
1483,112,yes,2
1484,106,no,0
1485,66,yes,3
1486,14,no,0
1487,38,no,0
1488,76,yes,6
1489,536,no,0
1490,208,no,0
1491,289,yes,1
1492,95,no,0
1493,25,no,0
1494,85,yes,2
1495,165,no,0
1496,12,no,0
1497,9,no,0
1498,26,no,0
1499,89,no,0
1500,54,no,0
1501,205,no,0
1502,47,no,0
1503,18,no,0
1504,3,no,0
1505,103,yes,3
1506,144,no,0
1507,26,no,0
1508,81,yes,4
1509,204,yes,1
1510,1300,no,0
1511,149,yes,1
1512,93,no,0
1513,64,no,0
1514,57,no,0
1515,99,no,0
1516,15,no,0
1517,135,no,0
1518,34,no,0
1519,30,no,0
1520,142,no,0
1521,43,no,0
1522,35,no,0
1523,67,no,0
1524,60,no,0
1525,38,no,0
1526,199,no,0
1527,321,no,0
1528,239,yes,1
1529,244,yes,19
1530,48,no,0
1531,45,no,0
1532,86,no,0
1533,22,no,0
1534,313,yes,15
1535,247,no,0
1536,164,no,0
1537,148,no,0
1538,32,no,0
1539,10,no,0
1540,143,no,0
1541,102,yes,6
1542,116,no,0
1543,84,no,0
1544,54,no,0
1545,174,no,0
1546,113,no,0
1547,289,no,0
1548,112,no,0
1549,177,no,0
1550,338,no,0
1551,18,no,0
1552,35,no,0
1553,16,no,0
1554,46,no,0
1555,89,no,0
1556,138,no,0
1557,195,no,0
1558,145,no,0
1559,60,no,0
1560,44,no,0
1561,6,no,0
1562,39,no,0
1563,113,no,0
1564,36,no,0
1565,31,no,0
1566,347,yes,4
1567,155,no,0
1568,81,yes,2
1569,104,no,0
1570,51,no,0
1571,49,no,0
1572,52,no,0
1573,96,no,0
1574,28,no,0
1575,55,no,0
1576,18,no,0
1577,82,no,0
1578,94,no,0
1579,600,no,0
1580,201,no,0
1581,28,yes,1
1582,37,no,0
1583,20,no,0
1584,317,no,0
1585,150,no,0
1586,72,no,0
1587,68,no,0
1588,234,yes,1
1589,18,no,0
1590,152,yes,3
1591,111,yes,28
1592,52,no,0
1593,43,yes,1
1594,118,no,0
1595,139,no,0
1596,28,no,0
1597,54,no,0
1598,445,yes,1
1599,182,no,0
1600,64,no,0
1601,23,no,0
1602,159,yes,4
1603,11,no,0
1604,156,no,0
1605,57,no,0
1606,21,no,0
1607,138,no,0
1608,40,no,0
1609,412,yes,4
1610,11,no,0
1611,51,no,0
1612,151,no,0
1613,136,no,0
1614,75,no,0
1615,42,no,0
1616,38,no,0
1617,104,no,0
1618,99,yes,8
