Product,Coupon_Used,TransactionCount
EYE CARE ACCESSORIES,no,88
EYE CENTER,no,78
FABRIC REFRESHERS/DRY CLEAN,no,18
FABRIC SOFTENER LIQUID,no,4506
FABRIC SOFTENER LIQUID,yes,3
FABRIC SOFTENER SHEETS,no,2770
FACE MAKE UP AND TREATMENT,no,16
FACIAL CREAMS,no,807
FACIAL LOTIONS,no,467
FACIAL LOTIONS,yes,2
FACIAL MOISTURIZERS,no,596
FACIAL MOISTURIZERS,yes,2
FACIAL SOAPS-SCRUBS-MASKS,no,2587
FACIAL SOAPS-SCRUBS-MASKS,yes,2
FACIAL TISSUE & PAPER HANDKE,no,4566
FACIAL TISSUE & PAPER HANDKE,yes,4
FEEDING ACCESSORIES BOTTLES,no,2127
FEEDING ACCESSORIES BOTTLES,yes,3
FEM HYGN DOUCHES,no,416
FEM YEAST TREATMENTS,no,316
FEM. HYGN. DEODORANTS,no,58
FEM. HYGN. TAMPONS,no,4343
FEM. HYGN. TAMPONS,yes,3
FEM. HYGN.NAPKINS,no,10854
FEM. HYGN.NAPKINS,yes,22
FEMALE CONTRACEPTIVES,no,281
FILLERS,no,52
FIREWOOD,no,92
FIRST AID MEDICATIONS,no,1178
FIRST AID MEDICATIONS,yes,2
FIRSTAID TAPES/COTTON/GLOVES,no,171
FIRSTAID TAPES/COTTON/GLOVES,yes,1
FITNESS&DIET - BARS,no,1175
FITNESS&DIET - BARS,yes,6
FITNESS&DIET-LIQ NTRTNL,no,22
FLANK,no,609
FLATS,no,354
FLAVORED BEAN COFFEE,no,252
FLAVORED/OTHER,no,2612
FLAVORED/OTHER,yes,2
FLEA/TICK COLLAR,no,278
FLNK/PLT/SHNK - STK/CHP/SLC,no,249
FLNK/PLT/SHNK - WH/HALF,no,147
FLOOR - DILUTABLES,no,79
FLOOR - HARD SURFACE,no,8
FLORAL - ALL OTHERS,no,21
FLORAL ACCESSORIES - GIFT,no,10
FLORAL ACCESSORIES-OTHER,no,4
FLORAL DEPT KEY RING,no,262
FLOUR: MISC SPECIALTY BLEND,no,21
FLOUR: WHITE & SELF RISING,no,1338
FLOUR: WHITE & SELF RISING,yes,1
FLOWER SEEDS,no,88
FLOWERING PLANTS (5IN & DOWN),no,178
FLOWERING PLANTS (5IN & DOWN),yes,1
FLUID MILK,no,895
FLUID MILK,yes,2
FLUID MILK WHITE ONLY,no,198130
FLUID MILK WHITE ONLY,yes,69
FOAM PLATES,no,212
FOLIAGE HANGING BASKETS,no,63
FOLIAGE PLANTS (5IN & DOWN),no,12
FOLIAGE PLANTS (6IN TO 10IN),no,37
FOLIAGE PLANTS-OTHER,no,75
FOOD STORAGE BAGS,no,940
FOOD STORAGE BAGS,yes,1
FOOD-MAGAZINE,no,44
FOOT CARE - MEDICATED CORN/CAL,no,294
FOOT CARE - SHOE INSOLE/PADS,no,403
FOOT SPRAYS POWDERS,no,484
FRAGRANCED BATH PRODUCTS,no,176
FREEZER BAGS,no,826
FRESH,no,7453
FRESH,yes,9
FRESH CUT OTHERS (NON-ROSE),no,3
FRESH HAMS,no,18
FRESH MINERAL,no,8
FRESH-BETTER FOR YOU,no,9
FROSTING,no,4428
FROSTING,yes,6
FROZEN BREAD,no,277
FROZEN BREAKFAST,no,600
FROZEN BURGERS,no,333
FROZEN CAKES/ALL TYPES INCLUDI,no,3372
FROZEN CAKES/ALL TYPES INCLUDI,yes,1
FROZEN CONVENIENCE/POCKETS,no,858
FROZEN CREAM PIES,no,2986
FROZEN CREAM PIES,yes,5
FROZEN DESSERT (ICE CREAM CAKE,no,49
FROZEN ENTREES,no,1584
FROZEN ENTREES,yes,2
FROZEN FRUIT,no,5522
FROZEN FRUIT,yes,7
FROZEN FRUIT PIES  & COBBLERS,no,5488
FROZEN FRUIT PIES  & COBBLERS,yes,8
FROZEN ICE CREAM,no,207
FROZEN MEAL COMBO/DINNERS,no,376
FROZEN MEAL COMBO/DINNERS,yes,2
FROZEN MEAT,no,83
FROZEN MEAT (VEGETARIAN),no,1342
FROZEN MISC,no,84
FROZEN PACKAGE MEAT,no,423
FROZEN PACKAGE MEAT,yes,2
FROZEN PASTA,no,2291
FROZEN PASTA,yes,4
FROZEN PIZZA,no,671
FROZEN SIDE DISH (MAC&CHS),no,153
FROZEN VEGETABLES,no,1370
FRUIT BASKETS,no,52
FRUIT BOWL AND CUPS,no,6574
FRUIT BOWL AND CUPS,yes,10
FRUIT COCKTAIL FRUIT SALAD,no,1896
FRUIT COCKTAIL FRUIT SALAD,yes,1
FRUIT DRINKS: CANNED & GLASS (,no,3
FRUIT FILLED COOKIES,no,132
FRUIT GLAZES,no,786
FRUIT PARTY TRAY,no,108
FRUIT SNACKS,no,4341
FRUIT SNACKS,yes,14
FRZN BAGELS,no,3761
FRZN BAGELS,yes,5
FRZN BAGGED VEGETABLES - PLAIN,no,77732
FRZN BAGGED VEGETABLES - PLAIN,yes,42
FRZN BAGGED VEGETABLES- VALUE,no,10147
FRZN BAGGED VEGETABLES- VALUE,yes,16
FRZN BAKED/STUFFED/MASHED&SPEC,no,1804
FRZN BAKED/STUFFED/MASHED&SPEC,yes,2
FRZN BISCUITS,no,2765
FRZN BISCUITS,yes,8
FRZN BOXED VEGETABLES - PLAIN,no,6680
FRZN BOXED VEGETABLES - PLAIN,yes,4
FRZN BOXED VEGETABLES- VALUE A,no,19795
FRZN BOXED VEGETABLES- VALUE A,yes,28
FRZN BRD OTHER,no,704
FRZN BRD OTHER,yes,1
FRZN BRD STICK/PORTON,no,19723
FRZN BRD STICK/PORTON,yes,28
FRZN BRD WHOLE FILLETS,no,4165
FRZN BRD WHOLE FILLETS,yes,7
FRZN BREAD DOUGH,no,729
FRZN BREAD DOUGH,yes,2
FRZN BREADED PREPARED CHICK,no,27672
FRZN BREADED PREPARED CHICK,yes,32
FRZN BREADED VEGETABLES,no,702
FRZN BREAKFAST ENTREES/SANDWIC,no,15720
FRZN BREAKFAST ENTREES/SANDWIC,yes,17
FRZN BREAKFAST PASTRY,no,6706
FRZN BREAKFAST PASTRY,yes,5
FRZN BURGERS/BBQ/MEATBALL,no,3591
FRZN BURGERS/BBQ/MEATBALL,yes,1
FRZN CONC ALLIEDS OVER 50% JUI,no,1922
FRZN CONC UNDER 50% JUICE,no,3866
FRZN CONC UNDER 50% JUICE,yes,1
FRZN CORN ON THE COB,no,2668
